age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,y
2,blue-collar,married,primary,no,1,no,no,cellular,jul,1,1,0
1,technician,single,secondary,no,2,no,yes,cellular,jul,3,1,1
1,blue-collar,single,secondary,no,2,no,yes,cellular,jul,3,1,0
1,management,married,tertiary,no,2,yes,yes,cellular,jul,1,1,0
2,admin.,divorced,secondary,no,1,no,yes,cellular,jul,3,1,1
1,admin.,divorced,secondary,no,2,no,yes,cellular,jul,3,1,0
1,services,married,secondary,no,2,no,yes,cellular,jul,3,1,0
2,services,divorced,secondary,no,2,yes,no,cellular,jul,2,2,0
2,admin.,married,secondary,no,2,no,yes,cellular,jul,1,1,0
1,services,single,secondary,no,2,no,yes,cellular,jul,2,1,0
1,technician,single,secondary,no,2,no,no,cellular,jul,2,1,0
3,housemaid,divorced,secondary,no,2,no,no,cellular,jul,3,1,0
1,blue-collar,single,primary,no,2,no,yes,cellular,jul,2,1,0
2,management,divorced,tertiary,no,2,no,yes,cellular,jul,2,2,0
2,admin.,married,secondary,no,2,no,no,cellular,jul,1,3,0
1,admin.,married,primary,no,2,yes,yes,cellular,jul,2,1,0
3,blue-collar,married,secondary,no,3,no,no,telephone,jul,1,2,0
1,blue-collar,married,secondary,no,2,yes,yes,cellular,jul,3,1,0
1,blue-collar,single,secondary,no,2,no,yes,cellular,jul,2,1,0
2,management,married,secondary,no,2,no,yes,cellular,jul,3,2,0
3,blue-collar,married,secondary,no,3,no,no,cellular,jul,2,2,0
2,blue-collar,married,primary,no,2,no,yes,cellular,jul,2,2,0
1,technician,married,secondary,no,1,no,no,cellular,jul,3,1,0
2,management,married,tertiary,no,2,no,no,cellular,jul,1,1,0
2,technician,divorced,tertiary,yes,1,no,yes,cellular,jul,2,1,0
2,technician,married,secondary,no,1,yes,no,cellular,jul,2,2,0
1,blue-collar,single,secondary,no,1,no,no,cellular,jul,1,2,0
1,blue-collar,single,secondary,no,2,no,yes,cellular,jul,3,1,0
3,blue-collar,married,primary,no,2,no,yes,cellular,jul,2,3,0
1,services,married,secondary,no,2,no,yes,cellular,jul,2,1,0
2,blue-collar,married,primary,no,2,no,yes,cellular,jul,1,1,0
1,blue-collar,married,secondary,no,2,no,yes,cellular,jul,2,1,0
2,housemaid,divorced,secondary,no,2,no,no,cellular,jul,1,2,0
1,technician,married,secondary,no,1,no,no,cellular,jul,3,1,0
2,blue-collar,married,secondary,no,2,yes,yes,cellular,jul,1,1,0
1,admin.,single,secondary,no,2,no,no,cellular,jul,1,1,0
1,blue-collar,married,primary,no,2,no,no,telephone,jul,1,1,0
1,blue-collar,married,primary,no,2,no,no,cellular,jul,2,1,0
2,housemaid,married,primary,no,1,no,yes,cellular,jul,2,1,0
2,blue-collar,single,secondary,yes,2,yes,yes,cellular,jul,3,1,1
1,blue-collar,divorced,secondary,no,2,no,yes,cellular,jul,3,1,0
2,entrepreneur,married,primary,yes,2,no,yes,cellular,jul,2,1,0
2,management,divorced,tertiary,no,1,yes,yes,cellular,jul,3,2,0
3,blue-collar,divorced,primary,no,2,no,yes,cellular,jul,3,1,1
2,management,married,secondary,no,2,no,yes,cellular,jul,2,1,0
3,blue-collar,single,secondary,no,2,no,yes,cellular,jul,3,1,0
2,housemaid,married,primary,no,3,no,no,cellular,jul,1,2,0
3,management,single,tertiary,no,2,yes,no,cellular,jul,2,2,0
2,technician,married,secondary,no,1,yes,yes,cellular,jul,3,2,0
1,technician,divorced,tertiary,no,2,yes,yes,cellular,jul,3,1,0
1,blue-collar,married,secondary,no,3,yes,no,cellular,jul,1,2,0
1,technician,single,secondary,no,1,no,yes,cellular,jul,3,2,0
2,technician,divorced,secondary,no,2,no,no,cellular,jul,3,2,0
1,services,married,secondary,no,1,no,no,cellular,jul,3,2,0
1,blue-collar,single,secondary,no,2,no,no,cellular,jul,3,1,0
2,admin.,married,secondary,no,2,no,yes,cellular,jul,2,2,0
2,admin.,single,secondary,no,1,no,yes,cellular,jul,1,1,0
1,management,single,tertiary,no,2,no,yes,cellular,jul,3,1,0
2,management,married,tertiary,no,1,no,yes,cellular,jul,2,1,0
2,technician,single,secondary,no,1,yes,yes,cellular,jul,3,2,1
2,housemaid,married,tertiary,no,2,no,no,telephone,jul,2,1,0
2,services,married,secondary,no,2,yes,no,cellular,jul,3,2,0
3,retired,married,secondary,no,1,no,yes,cellular,jul,3,1,0
2,technician,divorced,secondary,no,2,yes,no,cellular,jul,3,2,0
2,management,married,tertiary,no,2,no,no,cellular,jul,3,2,0
1,blue-collar,married,primary,no,1,no,no,cellular,jul,2,1,0
2,admin.,single,secondary,no,2,yes,yes,cellular,jul,2,1,0
1,management,single,secondary,no,2,no,yes,cellular,jul,3,2,0
1,blue-collar,single,secondary,no,2,yes,no,cellular,jul,1,2,0
1,admin.,single,secondary,no,1,no,yes,cellular,jul,1,1,0
2,services,married,secondary,no,2,yes,yes,cellular,jul,2,1,0
1,services,single,secondary,no,2,yes,yes,cellular,jul,1,1,0
1,unemployed,married,secondary,no,2,yes,yes,cellular,jul,1,1,0
1,services,single,secondary,no,2,no,yes,cellular,jul,3,1,0
2,blue-collar,married,secondary,no,2,no,no,telephone,jul,2,2,0
2,blue-collar,married,primary,yes,1,no,yes,cellular,jul,3,1,0
1,admin.,single,secondary,no,2,no,no,cellular,jul,3,2,1
2,blue-collar,married,primary,no,3,no,no,cellular,jul,2,2,0
2,management,single,tertiary,no,2,no,no,cellular,jul,2,2,0
3,retired,divorced,tertiary,no,2,no,no,cellular,jul,1,2,0
1,blue-collar,single,primary,yes,1,no,yes,cellular,jul,3,2,0
2,management,married,tertiary,no,3,no,no,cellular,jul,1,2,0
2,admin.,married,secondary,no,2,yes,no,cellular,jul,3,2,0
1,services,single,secondary,no,2,yes,yes,cellular,jul,2,2,0
2,technician,married,secondary,no,2,yes,no,cellular,jul,2,2,0
1,blue-collar,single,secondary,yes,1,no,yes,cellular,jul,2,2,0
1,technician,single,tertiary,no,2,no,no,cellular,jul,3,2,0
1,admin.,married,secondary,no,2,yes,yes,cellular,jul,2,2,0
2,admin.,divorced,secondary,no,2,no,yes,cellular,jul,2,1,0
2,services,married,secondary,no,2,no,yes,cellular,jul,2,1,0
1,technician,single,secondary,no,2,yes,no,cellular,jul,2,1,0
2,unemployed,married,tertiary,no,2,no,no,cellular,jul,1,2,0
1,admin.,single,secondary,no,3,no,no,cellular,jul,1,1,0
2,blue-collar,married,primary,no,3,no,no,telephone,jul,1,2,0
1,services,single,secondary,no,2,no,no,cellular,jul,2,1,0
2,housemaid,married,secondary,no,2,no,yes,cellular,jul,1,1,0
2,blue-collar,married,primary,no,2,no,no,cellular,jul,1,2,0
3,entrepreneur,married,primary,no,2,yes,no,cellular,jul,2,2,0
2,blue-collar,single,secondary,no,2,no,no,cellular,jul,1,2,0
1,blue-collar,single,secondary,no,1,yes,no,cellular,jul,2,2,0
2,technician,married,secondary,no,2,no,no,cellular,jul,2,2,0
3,blue-collar,married,primary,no,3,no,no,cellular,jul,1,1,0
3,blue-collar,married,secondary,no,3,no,no,telephone,jul,3,2,0
3,technician,divorced,secondary,no,1,yes,yes,cellular,jul,1,1,0
1,management,married,tertiary,no,1,no,yes,cellular,jul,2,1,0
3,blue-collar,divorced,secondary,no,2,no,no,cellular,jul,2,2,0
1,services,single,secondary,no,2,no,yes,cellular,jul,2,1,0
1,blue-collar,single,secondary,no,2,no,no,cellular,jul,2,1,0
2,blue-collar,married,primary,no,2,no,no,cellular,jul,1,2,0
1,management,single,secondary,no,2,no,yes,cellular,jul,2,2,0
2,admin.,married,secondary,no,2,yes,no,cellular,jul,1,3,0
2,management,married,tertiary,no,2,yes,no,cellular,jul,2,2,0
1,management,single,tertiary,no,3,yes,no,cellular,jul,1,3,0
2,blue-collar,divorced,secondary,no,2,no,yes,cellular,jul,2,2,0
1,admin.,single,secondary,no,2,no,yes,cellular,jul,1,2,0
1,blue-collar,married,primary,no,2,no,no,cellular,jul,1,1,0
1,admin.,single,tertiary,no,2,no,yes,cellular,jul,3,1,0
2,management,married,tertiary,no,2,no,yes,cellular,jul,1,3,0
1,unemployed,single,secondary,yes,1,no,yes,telephone,jul,2,2,0
1,blue-collar,married,secondary,no,1,yes,yes,cellular,jul,2,1,0
1,technician,married,secondary,no,3,yes,yes,cellular,jul,2,2,0
2,services,married,secondary,no,2,no,no,cellular,jul,3,2,0
2,blue-collar,married,secondary,yes,1,yes,yes,cellular,jul,1,2,0
2,technician,married,secondary,no,3,no,no,telephone,jul,3,2,0
2,self-employed,divorced,tertiary,no,2,no,no,cellular,jul,2,2,0
2,management,married,tertiary,no,2,no,no,cellular,jul,1,2,0
2,entrepreneur,married,primary,no,3,no,no,cellular,jul,2,2,0
1,technician,single,secondary,no,3,no,yes,cellular,jul,3,2,0
1,services,single,secondary,no,2,no,no,cellular,jul,3,2,0
2,housemaid,married,secondary,no,2,no,no,telephone,jul,2,3,0
1,technician,married,tertiary,no,2,yes,yes,cellular,jul,2,2,0
1,blue-collar,single,secondary,no,2,no,no,cellular,jul,2,2,0
2,blue-collar,married,primary,no,2,no,no,cellular,jul,2,2,0
2,admin.,divorced,tertiary,no,2,yes,no,cellular,jul,1,2,0
2,management,married,secondary,no,1,no,yes,telephone,jul,3,2,0
2,services,married,secondary,no,2,yes,no,cellular,jul,2,2,0
2,admin.,married,secondary,no,1,yes,no,cellular,jul,1,2,0
3,blue-collar,divorced,primary,no,2,no,no,cellular,jul,1,3,0
2,self-employed,single,secondary,no,2,yes,no,cellular,jul,2,2,0
1,technician,single,secondary,no,2,no,no,cellular,jul,2,2,0
2,entrepreneur,divorced,tertiary,no,2,no,no,cellular,jul,2,2,0
1,entrepreneur,married,secondary,no,2,no,yes,cellular,jul,2,2,0
3,blue-collar,married,primary,no,2,no,no,cellular,jul,3,2,0
2,blue-collar,single,tertiary,no,2,no,no,cellular,jul,1,2,0
2,management,married,tertiary,no,2,no,no,cellular,jul,2,2,0
1,admin.,single,secondary,no,2,no,yes,cellular,jul,3,1,0
1,blue-collar,single,primary,no,3,no,yes,cellular,jul,3,2,0
2,management,married,tertiary,no,2,no,yes,cellular,jul,3,2,0
2,blue-collar,married,secondary,no,2,yes,no,cellular,jul,2,2,0
2,blue-collar,single,secondary,no,3,yes,no,telephone,jul,1,2,0
3,management,married,tertiary,yes,1,no,yes,cellular,jul,1,2,0
1,blue-collar,married,secondary,no,2,no,yes,cellular,jul,2,2,0
2,self-employed,married,secondary,no,2,yes,no,telephone,jul,2,2,0
2,self-employed,married,secondary,no,2,no,no,cellular,jul,2,2,0
2,management,divorced,secondary,no,1,yes,no,cellular,jul,2,2,0
1,blue-collar,single,secondary,no,2,no,yes,telephone,jul,3,2,0
2,technician,married,secondary,no,2,yes,yes,cellular,jul,3,2,0
1,blue-collar,married,primary,no,2,no,yes,telephone,jul,2,2,0
2,blue-collar,married,primary,no,2,no,no,cellular,jul,3,1,0
1,management,single,tertiary,no,2,yes,no,cellular,jul,3,2,0
2,blue-collar,married,primary,no,2,no,no,cellular,jul,1,2,0
2,blue-collar,married,primary,yes,1,no,yes,cellular,jul,3,2,0
2,entrepreneur,married,secondary,no,2,yes,no,telephone,jul,2,2,0
1,housemaid,married,primary,no,1,yes,yes,telephone,jul,3,2,0
1,self-employed,married,secondary,no,1,yes,yes,cellular,jul,2,2,0
2,blue-collar,married,primary,no,2,no,no,telephone,jul,2,2,0
1,blue-collar,married,secondary,no,2,no,no,telephone,jul,3,2,0
2,services,married,secondary,no,2,no,yes,cellular,jul,1,2,0
2,entrepreneur,single,tertiary,no,2,no,no,cellular,jul,2,1,0
3,technician,married,tertiary,no,1,no,yes,cellular,jul,1,1,0
3,retired,single,secondary,no,2,no,yes,cellular,jul,1,1,0
1,blue-collar,married,secondary,no,2,no,no,cellular,jul,3,2,0
1,blue-collar,single,secondary,no,2,no,no,cellular,jul,3,2,1
2,technician,married,primary,no,2,no,no,telephone,jul,2,2,0
1,services,married,secondary,no,2,no,yes,cellular,jul,2,2,0
2,entrepreneur,married,secondary,no,3,no,no,cellular,jul,1,2,0
1,management,married,tertiary,no,2,yes,no,cellular,jul,1,3,0
1,technician,married,secondary,no,1,no,no,cellular,jul,2,2,0
1,blue-collar,single,secondary,no,1,no,yes,cellular,jul,2,2,0
1,services,single,secondary,no,2,yes,no,cellular,jul,3,2,0
2,housemaid,married,primary,no,2,no,no,cellular,jul,2,1,0
1,admin.,single,secondary,no,1,no,yes,cellular,jul,2,1,0
1,services,single,secondary,no,2,no,yes,cellular,jul,3,2,0
2,blue-collar,single,primary,no,1,no,no,telephone,jul,3,1,0
1,student,single,secondary,no,2,no,no,cellular,jul,3,1,0
1,entrepreneur,divorced,tertiary,no,2,no,yes,cellular,jul,1,1,0
2,blue-collar,married,secondary,no,1,yes,no,cellular,jul,2,3,0
1,technician,single,secondary,no,1,yes,yes,cellular,jul,2,1,0
1,blue-collar,married,primary,no,2,no,yes,cellular,jul,2,1,0
3,management,married,tertiary,no,3,no,no,telephone,jul,1,3,0
2,blue-collar,married,primary,no,3,no,no,cellular,jul,2,2,0
1,blue-collar,single,secondary,no,2,no,no,cellular,jul,2,2,0
2,management,married,tertiary,no,2,yes,no,cellular,jul,1,3,0
2,technician,married,tertiary,no,2,no,yes,cellular,jul,2,1,0
2,blue-collar,divorced,primary,no,2,no,no,cellular,jul,1,1,0
1,admin.,married,tertiary,no,2,no,no,cellular,jul,2,1,0
2,management,married,secondary,no,3,no,no,cellular,jul,2,1,0
1,admin.,single,secondary,no,2,no,no,cellular,jul,2,1,0
2,technician,single,tertiary,no,2,no,no,cellular,jul,2,1,0
1,admin.,married,secondary,no,2,no,yes,cellular,jul,2,1,0
1,entrepreneur,married,tertiary,no,2,yes,yes,cellular,jul,2,1,0
1,management,married,tertiary,no,1,no,no,cellular,jul,2,1,0
1,entrepreneur,married,secondary,no,1,no,yes,cellular,jul,3,1,0
1,admin.,single,secondary,no,2,no,yes,cellular,jul,2,1,0
1,admin.,single,secondary,no,2,no,yes,cellular,jul,2,1,0
1,technician,divorced,tertiary,no,2,no,yes,cellular,jul,2,1,0
2,services,married,secondary,no,2,no,yes,cellular,jul,1,2,0
3,retired,married,secondary,no,2,no,no,cellular,jul,2,1,0
2,unemployed,married,secondary,no,2,no,no,cellular,jul,3,1,0
1,management,married,tertiary,no,3,yes,no,cellular,jul,2,1,0
2,management,divorced,tertiary,no,2,no,yes,cellular,jul,1,2,0
1,blue-collar,single,secondary,no,2,no,no,telephone,jul,1,2,0
2,management,married,secondary,no,2,no,yes,telephone,jul,2,1,0
2,blue-collar,married,primary,no,1,yes,yes,cellular,jul,1,1,0
2,entrepreneur,married,primary,no,3,no,yes,cellular,jul,2,1,0
3,blue-collar,divorced,primary,no,2,no,no,cellular,jul,2,1,0
3,management,married,primary,no,2,no,yes,cellular,jul,2,1,0
2,technician,married,secondary,no,1,no,no,cellular,jul,1,3,0
1,blue-collar,single,primary,no,2,yes,no,cellular,jul,2,1,0
3,technician,divorced,primary,no,1,no,yes,telephone,jul,1,2,0
3,management,married,tertiary,no,2,no,yes,cellular,jul,2,1,0
1,management,single,tertiary,no,2,no,yes,cellular,jul,2,1,0
1,technician,married,tertiary,no,1,no,no,cellular,jul,3,1,0
1,management,single,tertiary,no,2,no,no,cellular,jul,2,1,0
3,retired,married,primary,no,2,no,no,cellular,jul,2,1,0
1,blue-collar,single,secondary,no,2,no,no,cellular,jul,3,1,0
1,self-employed,single,tertiary,no,2,no,yes,cellular,jul,2,1,0
1,admin.,single,secondary,no,1,no,yes,cellular,jul,2,1,0
1,management,single,tertiary,no,2,no,yes,cellular,jul,3,2,1
2,admin.,single,secondary,no,3,no,yes,cellular,jul,3,1,0
1,management,single,tertiary,no,2,no,yes,cellular,jul,2,1,0
1,services,married,primary,no,1,no,yes,cellular,jul,2,1,0
2,blue-collar,single,primary,no,2,yes,yes,cellular,jul,2,1,0
2,management,divorced,secondary,no,1,no,no,cellular,jul,2,1,0
1,technician,divorced,secondary,no,1,yes,no,cellular,jul,3,1,0
1,technician,married,secondary,no,2,yes,yes,cellular,jul,2,1,0
2,self-employed,married,tertiary,no,2,no,no,cellular,jul,2,1,0
1,entrepreneur,married,secondary,no,1,yes,yes,cellular,jul,3,1,1
2,entrepreneur,married,tertiary,yes,1,no,no,cellular,jul,3,1,1
1,blue-collar,divorced,secondary,no,2,no,yes,cellular,jul,3,1,0
1,management,single,tertiary,no,2,yes,yes,cellular,jul,3,1,0
1,self-employed,married,tertiary,no,2,no,no,cellular,jul,1,1,0
2,blue-collar,married,secondary,yes,1,yes,no,telephone,jul,2,2,0
1,admin.,single,secondary,no,1,no,yes,cellular,jul,2,1,0
2,admin.,married,secondary,no,2,no,yes,cellular,jul,1,2,0
2,admin.,married,secondary,no,2,no,yes,cellular,jul,1,2,0
1,technician,single,tertiary,no,2,no,yes,cellular,jul,3,1,0
1,management,married,tertiary,yes,2,no,no,cellular,jul,1,1,0
3,retired,divorced,tertiary,no,2,yes,yes,cellular,jul,3,2,0
3,retired,married,tertiary,no,2,no,yes,cellular,jul,2,1,0
3,retired,married,tertiary,no,2,no,no,cellular,jul,2,2,0
3,blue-collar,married,secondary,no,2,yes,no,cellular,jul,2,2,0
1,blue-collar,single,secondary,yes,1,no,no,cellular,jul,2,1,0
1,housemaid,married,secondary,no,1,yes,yes,cellular,jul,1,2,0
1,technician,single,secondary,yes,2,no,yes,cellular,jul,3,1,1
